"TokenNumber","TokenPadded","NewWorkID","Title","RepoName","ItemPath","ExpectedTokenImagePath","FirstImgSrc","ResolvedFirstImgPath","FirstImgFileExists","ImgSrcCount","Status","Message","OpenSeaImageURL","OpenSeaItemURL"
"9001","9001","RE-009746","Light Cult Crypto Club #9001","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9001.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9001.png","../images/9001-9100/RE-009746.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009746.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/22f3afbded2d61e4b4380624bdf5e1c0.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9001"
"9002","9002","RE-009747","Light Cult Crypto Club #9002","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9002.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9002.png","../images/9001-9100/RE-009747.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009747.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/31d744957d2d9bde59f8bb7ca058237e.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9002"
"9003","9003","RE-009748","Light Cult Crypto Club #9003","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9003.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9003.png","../images/9001-9100/RE-009748.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009748.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/b3608a2dd80e9544c11db481269cb6c1.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9003"
"9004","9004","RE-009749","Light Cult Crypto Club #9004","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9004.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9004.png","../images/9001-9100/RE-009749.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009749.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/d70b4c378c14d809c4a3810b94739a4f.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9004"
"9005","9005","RE-009750","Light Cult Crypto Club #9005","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9005.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9005.png","../images/9001-9100/RE-009750.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009750.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/75ea2b93d9dddaf88c9eb0f4138f8834.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9005"
"9007","9007","RE-009751","Light Cult Crypto Club #9007","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9007.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9007.png","../images/9001-9100/RE-009751.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009751.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/03b18730b1482ce4e4f29d3e1b401b56.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9007"
"9008","9008","RE-009752","Light Cult Crypto Club #9008","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9008.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9008.png","../images/9001-9100/RE-009752.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009752.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/c32e62f409183e4c5711e4e9cce6f070.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9008"
"9009","9009","RE-009753","Light Cult Crypto Club #9009","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9009.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9009.png","../images/9001-9100/RE-009753.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009753.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/6a6bddfe0fbbd0438b3bbc85ec756f8a.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9009"
"9011","9011","RE-009754","Light Cult Crypto Club #9011","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9011.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9011.png","../images/9001-9100/RE-009754.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009754.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1c49e9e5f992a3ccc00f5f4508b05fff.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9011"
"9012","9012","RE-009755","Light Cult Crypto Club #9012","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9012.html","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\LCCC-9012.png","../images/9001-9100/RE-009755.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-009755.jpg","NO","1","BROKEN_LOCAL_IMAGE","Page uses a local image path, but the file does not exist.","https://i2c.seadn.io/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/2fe5b5ef650f49a0e27a3110aa23c8ee.png?w=350","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9012"
