"TokenNumber","TokenPadded","NewWorkID","Title","RepoName","ItemPath","ExpectedImagePath","ExpectedSrcFromItem","FirstImgSrcFound","ResolvedFirstImgPath","LocalImgSrcCount","MatchesExpectedImage","Status","Message"
"9747","9747","RE-010398","Light Cult Crypto Club #9747","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9747.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9747.png","../images/9701-9800/LCCC-9747.png","../images/9701-9746/RE-010398.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010398.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9748","9748","RE-010399","Light Cult Crypto Club #9748","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9748.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9748.png","../images/9701-9800/LCCC-9748.png","../images/9701-9746/RE-010399.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010399.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9749","9749","RE-010400","Light Cult Crypto Club #9749","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9749.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9749.png","../images/9701-9800/LCCC-9749.png","../images/9701-9746/RE-010400.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010400.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9750","9750","RE-010401","Light Cult Crypto Club #9750","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9750.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9750.png","../images/9701-9800/LCCC-9750.png","../images/9701-9746/RE-010401.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010401.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9751","9751","RE-010402","Light Cult Crypto Club #9751","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9751.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9751.png","../images/9701-9800/LCCC-9751.png","../images/9701-9746/RE-010402.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010402.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9752","9752","RE-010403","Light Cult Crypto Club #9752","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9752.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9752.png","../images/9701-9800/LCCC-9752.png","../images/9701-9746/RE-010403.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010403.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9753","9753","RE-010404","Light Cult Crypto Club #9753","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9753.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9753.png","../images/9701-9800/LCCC-9753.png","../images/9701-9746/RE-010404.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010404.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9754","9754","RE-010405","Light Cult Crypto Club #9754","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9754.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9754.png","../images/9701-9800/LCCC-9754.png","../images/9701-9746/RE-010405.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010405.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9755","9755","RE-010406","Light Cult Crypto Club #9755","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9755.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9755.png","../images/9701-9800/LCCC-9755.png","../images/9701-9746/RE-010406.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010406.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9756","9756","RE-010407","Light Cult Crypto Club #9756","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9756.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9756.png","../images/9701-9800/LCCC-9756.png","../images/9701-9746/RE-010407.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010407.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9757","9757","RE-010408","Light Cult Crypto Club #9757","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9757.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9757.png","../images/9701-9800/LCCC-9757.png","../images/9701-9746/RE-010408.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010408.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9758","9758","RE-010409","Light Cult Crypto Club #9758","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9758.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9758.png","../images/9701-9800/LCCC-9758.png","../images/9701-9746/RE-010409.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010409.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
"9759","9759","RE-010410","Light Cult Crypto Club #9759","ron-english-light-cult-9001-10000","D:\github\ron-english-light-cult-9001-10000\items\lccc-9759.html","D:\github\ron-english-light-cult-9001-10000\images\9701-9800\LCCC-9759.png","../images/9701-9800/LCCC-9759.png","../images/9701-9746/RE-010410.jpg","D:\github\ron-english-light-cult-9001-10000\images\9701-9746\RE-010410.jpg","1","NO","SRC_REVIEW","No img src resolves to the expected local image."
